DR2Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP
"Gaia DR2 5275956728561285248" 0.043997 -2.976732 119.61606909307 -63.73000467743 "" "" "" "" "" "" 17.808903174829727 0.0023375996357870195 2.1103773070874183 0.01216873218066069
"Gaia DR2 5275960130171713536" 0.152059 -2.925551 119.8594924012 -63.67845677101 "" "" "" "" "" "" 18.85616973932136 0.009796069127852986 "" ""
"Gaia DR2 5275960435114535552" 0.217135 -2.956338 120.00671484033 -63.70882646169 "" "" "" "" "" "" 13.56506648406569 0.006944132624721217 0.7945090021998347 0.0030866539394395673
"Gaia DR2 5275962329198650880" 0.243049 -2.841867 120.06300295881 -63.59415270811 "" "" "" "" "" "" 16.436056860199017 0.0023991179047758325 0.9409009472969565 0.005873186513096637
"Gaia DR2 5275962775875240960" 0.090015 -2.929311 119.71965457018 -63.68247621374 "" "" "" "" "" "" 17.657597992145064 0.018847643749751505 1.7843491510545118 0.3197066496199203
"Gaia DR2 5275962775871561984" 0.091969 -2.927602 119.72404765113 -63.68076127805 "" "" "" "" "" "" 17.129056875044178 0.0038638292452072565 "" ""
"Gaia DR2 5275963802369338624" 0.083246 -2.890842 119.70414051372 -63.64402798722 "" "" "" "" "" "" 18.07852145434181 0.006179513234970723 2.976702651201311 0.027623988531680087
"Gaia DR2 5275964700020554624" 0.110489 -2.816134 119.76483213053 -63.56922975263 "" "" "" "" "" "" 14.863126863517929 0.002154149838582028 1.6980006220962025 0.0032415556270537133
"Gaia DR2 5275966757306874624" 0.17621 -2.752216 119.91154112255 -63.50498752894 "" "" "" "" "" "" 16.28832444951718 0.004021156446539322 1.3248329566070751 0.006026129601585633
"Gaia DR2 5276524660673148544" 2.455044 -2.980733 125.04834178361 -63.62958508208 "" "" "" "" "" "" 18.610485876124418 0.005349643465150528 "" ""
"Gaia DR2 5276526340005191168" 2.351134 -2.987268 124.81649025661 -63.6447354464 "" "" "" "" "" "" 17.98296301741309 0.0037322585645248717 1.7084119678343832 0.015571427120155166
"Gaia DR2 5276526653542415360" 2.301047 -2.992793 124.70507559774 -63.65427387638 "" "" "" "" "" "" 17.715376276044235 0.0033117433254838922 0.7997031738294353 0.03614628089457725
"Gaia DR2 5276527615614993536" 2.362376 -2.90717 124.82687971573 -63.56401486464 "" "" "" "" "" "" 18.51313676841745 0.003312882254209714 2.0734866928447637 0.03584277665753789
"Gaia DR2 5276528474603951488" 2.466454 -2.894627 125.05729517222 -63.54285227815 "" "" "" "" "" "" 18.52105799168127 0.014033869198366272 2.4212366583360314 0.06163254668556398
"Gaia DR2 5276529642835023360" 2.417962 -2.848592 124.94020257713 -63.50107784606 "" "" "" "" "" "" 15.297405756793745 0.003124101030913903 0.9982797989267063 0.0030683877517812107
"Gaia DR2 5276843965726687744" 2.915751 -2.991727 126.0823668909 -63.59775600162 "" "" "" "" "" "" 15.406050059789802 0.010085900753931605 1.1802021740006463 0.004811407015434476
"Gaia DR2 5276844309323980544" 2.895981 -2.967555 126.03266779074 -63.57570252779 "" "" "" "" "" "" 13.243851008455563 0.0018749336964905205 1.173125949581637 0.0031721999353589644
"Gaia DR2 5276844717341940096" 2.946011 -2.978166 126.14690406229 -63.58120782302 "" "" "" "" "" "" 18.453357899008395 0.005577320698724871 1.0844411073930154 0.03574191383206758
"Gaia DR2 5276845924228096512" 2.966186 -2.909497 126.17608931476 -63.51087704143 "" "" "" "" "" "" 18.87883759336461 0.016801184666444417 "" ""
"Gaia DR2 5276888942624022272" 2.737889 -2.947544 125.67487716185 -63.57116796759 "" "" "" "" "" "" 16.536165235525218 0.0025157100893383982 1.0249147304094226 0.006171826291119279
"Gaia DR2 5276890488812072704" 2.70903 -2.844824 125.58866315695 -63.47165537232 "" "" "" "" "" "" 17.618876021187038 0.00997438965223125 1.5587752936198171 0.01585311991928743
"Gaia DR2 5276891691399369728" 2.813113 -2.955121 125.84467993826 -63.57150009503 "" "" "" "" "" "" 18.743981417920626 0.005002424242733039 "" ""
"Gaia DR2 5276892168140694016" 2.810408 -2.889792 125.8243071598 -63.50677274494 "" "" "" "" "" "" 16.812645598295042 0.003456298881556651 2.2535377882982512 0.011588277307504119
