EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP
"Gaia EDR3 5644258661060917504" 0.451289 -0.499165 125.2557503257 -30.24814483726 "" "" "" "" "" "" 18.442167 0.015016 1.089306 0.018518770492309013
"Gaia EDR3 5644268041270059136" 0.217276 -0.452199 124.98474003073 -30.2019678444 "" "" "" "" "" "" 17.011387 0.0115 1.804487 0.00868103453153847
"Gaia EDR3 5644270686969350528" 0.429117 -0.468265 125.22992865458 -30.21734426298 "" "" "" "" "" "" 17.538574 0.012276 0.971821 0.010187598916478607
"Gaia EDR3 5644271545957019648" 0.396971 -0.448996 125.19264005505 -30.19820903831 "" "" "" "" "" "" 15.555416 0.00662 0.873247 0.007247598143293242
"Gaia EDR3 5644271820841556096" 0.379962 -0.421316 125.17283696172 -30.17059612873 "" "" "" "" "" "" 17.500685 0.01579 0.902243 0.01748644808630493
"Gaia EDR3 5644273435742910976" 0.321823 -0.422705 125.10559465381 -30.17219003443 "" "" "" "" "" "" 16.085142 0.007385 0.873157 0.007037738377315673
"Gaia EDR3 5644274707058854400" 0.27158 -0.358615 125.04727466762 -30.10825084423 "" "" "" "" "" "" 15.665924 0.007943 1.030771 0.005192356753204563
"Gaia EDR3 5644275359893680768" 0.419543 -0.360315 125.21832062384 -30.10943672838 "" "" "" "" "" "" 17.151659 0.011457 1.625293 0.01461143258393751
"Gaia EDR3 5644276218887283456" 0.298251 -0.328004 125.07799904298 -30.07756383995 "" "" "" "" "" "" 16.715416 0.003183 "" ""
"Gaia EDR3 5644276528124813952" 0.367064 -0.30945 125.15743959307 -30.05877976136 "" "" "" "" "" "" 18.340635 0.012436 "" ""
"Gaia EDR3 5644276871722141952" 0.377472 -0.268175 125.16928319126 -30.01746660772 "" "" "" "" "" "" 17.610926 0.011545 0.984087 0.011158608285305604
"Gaia EDR3 5644276871722145536" 0.380782 -0.276616 125.17314397246 -30.02589469781 "" "" "" "" "" "" 17.08463 0.007428 1.036261 0.0073635590902590515
"Gaia EDR3 5644276871723070464" 0.380824 -0.276661 125.1731928119 -30.02593956291 "" "" "" "" "" "" 17.234602 0.006598 1.023627 0.0158063247254591
"Gaia EDR3 5644366275762299392" 0.498589 -0.336085 125.30955413403 -30.08484298439 "" "" "" "" "" "" 14.308652 0.005551 0.411353 0.004887453955099186
"Gaia EDR3 5644373525664916864" 0.494746 -0.120788 125.30387678493 -29.86956981471 "" "" "" "" "" "" 17.529455 0.010597 0.840563 0.021169512094280595
"Gaia EDR3 5644434926516580736" -0.061912 -0.467939 124.6616939074 -30.2179256005 "" "" "" "" "" "" 18.43119 0.007021 "" ""
"Gaia EDR3 5644435201398820608" -0.078345 -0.437639 124.64270471998 -30.18761376896 "" "" "" "" "" "" 18.031395 0.032967 1.584454 0.0673146942428729
"Gaia EDR3 5644443825688197888" -0.417819 -0.473532 124.24980032448 -30.22265890915 "" "" "" "" "" "" 17.14654 0.009951 1.364315 0.00914301106931815
"Gaia EDR3 5644448258094251136" -0.174626 -0.372659 124.53145067239 -30.12251200475 "" "" "" "" "" "" 17.923325 0.009862 1.006977 0.011084895790127567
"Gaia EDR3 5644448498599888640" -0.309014 -0.498993 124.37562671833 -30.2485175991 "" "" "" "" "" "" 16.85553 0.008755 "" ""
"Gaia EDR3 5644449082728075008" -0.275966 -0.442501 124.41406480754 -30.19212362623 "" "" "" "" "" "" 16.684961 0.009857 1.875074 0.006015191238301217
"Gaia EDR3 5644450212297100416" -0.326139 -0.394093 124.35620308192 -30.14356421715 "" "" "" "" "" "" 16.486134 0.005821 0.887846 0.006505524448079574
"Gaia EDR3 5644450216599454464" -0.326166 -0.39402 124.35617180549 -30.14349152526 "" "" "" "" "" "" 16.597061 0.005064 0.888019 0.007861266309660208
"Gaia EDR3 5644455641136117760" 0.178523 -0.454113 124.93990496821 -30.20395903645 "" "" "" "" "" "" 18.477875 0.009634 1.783379 0.018684044698899505
"Gaia EDR3 5644457466496743936" 0.016102 -0.465459 124.75197325748 -30.21546329312 "" "" "" "" "" "" 17.99711 0.006592 "" ""
"Gaia EDR3 5644457672655235328" -0.032999 -0.447214 124.69516039537 -30.19721432609 "" "" "" "" "" "" 17.796011 0.014643 1.136637 0.012975274767670247
"Gaia EDR3 5644457844466397440" 0.025461 -0.459018 124.76280149201 -30.20902091638 "" "" "" "" "" "" 17.884619 0.011461 0.95505 0.013118251563166478
"Gaia EDR3 5644458600380645120" -0.042068 -0.41573 124.68468284102 -30.16572699566 "" "" "" "" "" "" 17.398901 0.009149 1.340584 0.009796998791743245
"Gaia EDR3 5644460043476835968" 0.102516 -0.372229 124.85186062161 -30.12218230315 "" "" "" "" "" "" 16.554752 0.004507 "" ""
"Gaia EDR3 5644462792268733952" 0.172436 -0.367408 124.93268702517 -30.11726416932 "" "" "" "" "" "" 15.912817 0.01027 0.913182 0.005226816047211033
"Gaia EDR3 5644462929694652416" 0.191033 -0.346172 124.95413868009 -30.09599504184 "" "" "" "" "" "" 18.436155 0.005924 "" ""
"Gaia EDR3 5644462998423692928" 0.182398 -0.339192 124.94414332116 -30.08903138318 "" "" "" "" "" "" 17.210005 0.011271 2.450568 0.012319071004339953
"Gaia EDR3 5644463410730941824" 0.2086 -0.311844 124.97436009985 -30.06163175439 "" "" "" "" "" "" 18.328554 0.016309 "" ""
"Gaia EDR3 5644463853113902464" 0.206766 -0.261785 124.97212076986 -30.01157668424 "" "" "" "" "" "" 17.178072 0.009506 0.892092 0.0075845450362673605
"Gaia EDR3 5644464063565832576" 0.323059 -0.297497 125.10655244235 -30.04697889781 "" "" "" "" "" "" 18.354666 0.004012 "" ""
"Gaia EDR3 5644464304093705472" 0.296087 -0.286296 125.07535505271 -30.03586187911 "" "" "" "" "" "" 17.240852 0.005397 "" ""
"Gaia EDR3 5644465090064467072" 0.250405 -0.269254 125.02253756052 -30.01894514341 "" "" "" "" "" "" 15.854656 0.004705 1.171722 0.005380390204098952
"Gaia EDR3 5644465541034578816" 0.289409 -0.237915 125.06747855953 -29.98750138362 "" "" "" "" "" "" 18.311512 0.010736 1.157917 0.015780191614719666
