DR2Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,prob0,probs_final
Gaia DR2 5277609741214454784,1.118153,-1.920181,121.95085684889,-62.65263180573,2.9316,0.1554,-5.9,0.338,13.118,0.355,18.27657269736593,0.0022974658590973005,3.011649848430398,0.04649675112146125,1.0,1.0
Gaia DR2 5277618468587952000,1.310528,-1.763931,122.35428784043,-62.48875571602,2.7672,0.0401,-6.012,0.097,12.708,0.088,16.29274822012153,0.002054112380238899,2.034596627803827,0.005901096235374522,1.0,1.0
Gaia DR2 5278169530073469056,2.650627,-0.525025,125.01941317979,-61.16703743723,-1.0143,0.2677,-2.466,0.538,0.693,0.515,14.567368576224805,0.0019886422042109937,0.9047002891677742,0.0031428793097303333,1.0,1.0
Gaia DR2 5288068673774909824,-0.184589,-2.061186,119.11277355996,-62.81392070311,2.5336,0.0388,-4.411,0.08,12.307,0.076,15.741716416808725,0.002084951738946892,1.8433351407379224,0.006765017401827686,1.0,1.0
Gaia DR2 5288069807646258304,-0.203685,-2.009469,119.07176288628,-62.76208097058,3.0962,0.0889,-5.434,0.194,14.404,0.173,17.494376964239777,0.0020663003622044458,2.500710237533827,0.018608955161225148,1.0,1.0
Gaia DR2 5288258610112012032,-0.250255,-1.947323,118.97117875597,-62.69958289183,2.6788,0.1451,-4.874,0.348,12.569,0.31,18.303880035318695,0.002414858400393767,2.7436420243980564,0.04074593011301342,1.0,1.0
Gaia DR2 5288288850978339584,-0.972073,-2.05014,117.39105078162,-62.78760668487,2.9967,0.0226,-4.513,0.044,14.145,0.037,12.405525421328766,0.0018614567880055185,0.8755745815617662,0.003079828154514002,1.0,1.0
Gaia DR2 5288347155156539392,-0.462426,-1.319971,118.52950214212,-62.06978599838,2.4344,0.1611,-4.306,0.378,11.526,0.409,18.271555981194172,0.0024365561812231744,2.8659021186213955,0.03147004153203031,1.0,1.0
Gaia DR2 5288350904665410048,-0.553634,-1.300668,118.33557299325,-62.04897388838,2.5345,0.0816,-4.303,0.173,11.582,0.166,17.182316634451723,0.0020409371356319454,2.2879350564951757,0.011805227353652616,1.0,1.0
Gaia DR2 5289105062266063488,-0.757448,-1.224028,117.9049515453,-61.96800108342,2.9097,0.0947,-4.79,0.254,13.408,0.199,17.750200489303115,0.00271027028877629,2.888821489112537,0.028603640378934446,1.0,1.0
Gaia DR2 5289119836953807232,-0.679301,-1.023093,118.08059950871,-61.76894597904,2.4369,0.0829,-4.323,0.185,11.196,0.175,17.558817923741728,0.002183522186466953,2.5040375217251167,0.019394119576374606,1.0,1.0
