ID MP sel
"Gaia DR2 5290818758516639104" 1.0 1
"Gaia DR2 5290743648127929856" 1.0 1
"Gaia DR2 5290767631226220032" 1.0 1
"Gaia DR2 5290847861214655616" 1.0 1
"Gaia DR2 5290720867621791872" 1.0 1
"Gaia DR2 5290671733195996416" 1.0 1
"Gaia DR2 5290673794780227072" 1.0 1
"Gaia DR2 5290721176859357952" 1.0 1
"Gaia DR2 5290820682661822848" 1.0 1
"Gaia DR2 5290795187736645632" 1.0 1
"Gaia DR2 5290724922070754432" 1.0 1
"Gaia DR2 5290702279003050496" 1.0 1
"Gaia DR2 5290816422049739008" 1.0 1
"Gaia DR2 5290673897859442304" 1.0 1
"Gaia DR2 5290739387520374912" 1.0 1
"Gaia DR2 5289613208437434240" 1.0 1
"Gaia DR2 5290662383047290496" 1.0 1
"Gaia DR2 5290673760420486656" 1.0 1
"Gaia DR2 5290024533163062144" 1.0 1
"Gaia DR2 5290722929205920640" 1.0 1
"Gaia DR2 5290832364972775808" 1.0 1
"Gaia DR2 5289877744061776896" 1.0 1
"Gaia DR2 5290818586713364352" 1.0 1
"Gaia DR2 5290769211774211968" 1.0 1
"Gaia DR2 5290722860486442752" 1.0 1
"Gaia DR2 5290814768486344320" 1.0 1
"Gaia DR2 5290795187732777088" 1.0 1
"Gaia DR2 5290669774690987776" 1.0 1
"Gaia DR2 5290718737318003840" 1.0 1
"Gaia DR2 5290816009737675392" 1.0 1
"Gaia DR2 5290722929205920896" 1.0 1
"Gaia DR2 5290949669118299776" 1.0 1
"Gaia DR2 5290723891278514048" 1.0 1
"Gaia DR2 5290706711409106304" 1.0 1
"Gaia DR2 5290720455304928512" 1.0 1
"Gaia DR2 5289743779740249728" 1.0 1
"Gaia DR2 5290767150189898496" 1.0 1
"Gaia DR2 5290696128609865600" 1.0 1
"Gaia DR2 5290882564550310016" 1.0 1
"Gaia DR2 5290738562881739648" 1.0 1
"Gaia DR2 5289732784624068736" 1.0 1
"Gaia DR2 5289938290220478848" 1.0 1
"Gaia DR2 5290723135364356736" 1.0 1
"Gaia DR2 5289876270891357824" 1.0 1
"Gaia DR2 5290657336465950976" 1.0 1
"Gaia DR2 5290859406087169152" 1.0 1
